"respondent.id","segment"
1,1
2,2
3,2
4,2
5,2
6,2
7,1
8,3
9,1
10,2
11,1
12,2
13,2
14,2
15,2
16,1
17,1
18,2
19,2
20,3
21,2
22,2
23,1
24,2
25,3
26,3
27,1
28,2
29,1
30,2
31,1
32,2
33,2
34,3
35,3
36,1
37,1
38,2
39,1
40,2
41,3
42,1
43,1
44,1
45,2
46,1
47,1
48,2
49,3
50,2
51,1
52,3
53,2
54,1
55,1
56,1
57,1
58,3
59,1
60,1
61,1
62,1
63,1
64,2
65,2
66,1
67,1
68,1
69,1
70,2
71,3
72,2
73,1
74,1
75,1
76,1
77,2
78,2
79,1
80,2
81,3
82,1
83,1
84,1
85,2
86,1
87,1
88,2
89,1
90,3
91,1
92,3
93,1
94,2
95,1
96,2
97,2
98,2
99,1
100,2
101,1
102,1
103,1
104,3
105,1
106,2
107,2
108,3
109,1
110,3
111,2
112,2
113,2
114,3
115,1
116,1
117,2
118,1
119,1
120,3
121,3
122,2
123,2
124,2
125,1
126,3
127,2
128,2
129,2
130,2
131,2
132,3
133,3
134,3
135,1
136,2
137,1
138,2
139,2
140,1
141,2
142,1
143,2
144,1
145,1
146,2
147,1
148,3
149,1
150,3
151,1
152,1
153,1
154,2
155,2
156,1
157,3
158,2
159,2
160,3
161,1
162,3
163,2
164,1
165,1
166,2
167,1
168,3
169,2
170,3
171,1
172,1
173,2
174,2
175,1
176,2
177,3
178,1
179,1
180,1
181,2
182,3
183,1
184,1
185,1
186,2
187,1
188,3
189,2
190,2
191,1
192,3
193,2
194,3
195,2
196,1
197,3
198,2
199,1
200,1
201,2
202,2
203,1
204,2
205,2
206,1
207,1
208,2
209,2
210,1
211,1
212,2
213,1
214,1
215,2
216,1
217,2
218,2
219,1
220,2
221,2
222,1
223,3
224,1
225,2
226,1
