"coef","segment","complete.pool","no.pool","partial.pool"
"(Intercept)","Seg1",0,0.045,0.048
"(Intercept)","Seg2",0,0.003,0.012
"(Intercept)","Seg3",0,0.619,0.272
"Flexibility","Seg1",-0.022,-0.018,0.006
"Flexibility","Seg2",-0.022,-0.05,-0.043
"Flexibility","Seg3",-0.022,0.66,0.404
"PerformanceExpectancy","Seg1",0.2,0.301,0.28
"PerformanceExpectancy","Seg2",0.2,0.172,0.177
"PerformanceExpectancy","Seg3",0.2,0.29,0.22
"EffortExpectancy","Seg1",0.094,0.08,0.078
"EffortExpectancy","Seg2",0.094,0.09,0.092
"EffortExpectancy","Seg3",0.094,0.111,0.063
"PerceivedAutonomy","Seg1",0.083,-0.043,-0.024
"PerceivedAutonomy","Seg2",0.083,0.092,0.092
"PerceivedAutonomy","Seg3",0.083,0.17,0.123
"PerceivedCompetence","Seg1",-0.022,-0.068,-0.056
"PerceivedCompetence","Seg2",-0.022,-0.008,-0.012
"PerceivedCompetence","Seg3",-0.022,0.007,0.034
"PerceivedRelatedness","Seg1",0.093,0.114,0.111
"PerceivedRelatedness","Seg2",0.093,0.088,0.087
"PerceivedRelatedness","Seg3",0.093,-0.128,0.04
"PerceivedUsefulness","Seg1",0.155,0.308,0.28
"PerceivedUsefulness","Seg2",0.155,0.122,0.126
"PerceivedUsefulness","Seg3",0.155,-0.09,0.021
"Attitude","Seg1",0.385,0.254,0.249
"Attitude","Seg2",0.385,0.445,0.437
"Attitude","Seg3",0.385,-0.363,-0.042
